,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude,altitude
8771,MMR007014024,Moe Kaung,မိုးကောင်း,ကျေးရွာအုပ်စု,Village Tract,"မိုးကောင်း, မိုးညှင်းခရိုင်, ကချင်ပြည်နယ် (Kachin), ၁၁၀၂, Myanmar","(25.3018588, 96.9416995, 0.0)",25.3018588,96.9416995,0.0
8772,MMR007014025,Myo Soe,မြို့ဆိုး,ကျေးရွာအုပ်စု,Village Tract,"Myo Soe, တောင်ငူခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(19.2242432, 96.1257589, 0.0)",19.2242432,96.1257589,0.0
8773,MMR007014026,Sa Par Kyi,စပါးကြီ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8774,MMR007014027,Kyein Taw Hmyaung,ကြိမ်တောမျှောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8775,MMR007014028,Nga See Laung,ငါးဆီးလောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8776,MMR007014029,Za Loke Gyi,ဇလုပ်ကြီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8777,MMR008001001,Wet Htee Kan,ဝက်ထီးကန်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8778,MMR008001002,Hnaw Kan,နှောကန်,ကျေးရွာအုပ်စု,Village Tract,"နှောကန်, ယင်းမာပင်ခရိုင်, စစ်ကိုင်းတိုင်း (Sagaing), Myanmar","(21.94005, 94.764893, 0.0)",21.94005,94.764893,0.0
8779,MMR008001003,Wet Myay Taw,ဝက်မြေတော,ကျေးရွာအုပ်စု,Village Tract,,,,,
8780,MMR008001004,War Yon Seik,ဝါးရုံဆိပ်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8781,MMR008001005,Hlwa Zin,လွှဇင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8782,MMR008001006,La Ba,လဘ,ကျေးရွာအုပ်စု,Village Tract,"Labha, Pranpur, Katihar, Bihar, India","(25.4457548, 87.7547979, 0.0)",25.4457548,87.7547979,0.0
8783,MMR008001007,Myo Ma,မြို့မ,ကျေးရွာအုပ်စု,Village Tract,"မြို့မ (ရှမ်း), လွိုင်ကော်‌ခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.67135, 97.109009, 0.0)",19.67135,97.109009,0.0
8784,MMR008001008,Tha Khwet Sauk,သခွက်စောက်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8785,MMR008001009,Kone Zin,ကုန်းဇင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8786,MMR008001010,Inn Win,အင်းဝင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8787,MMR008001011,Te Gyi Kone,တဲကြီးကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8788,MMR008001012,Pa Ni Pin,ပနီပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8789,MMR008001013,Thit Cho Pin,သစ်ချိုပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8790,MMR008001014,Pauk Nwe Chon,ပေါက်နွယ်ခြုံ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8791,MMR008001015,Ah Lo Taw Ya,အလိုတော်ရ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8792,MMR008001016,Pyin Ma Aing,ပျဉ်းမအိုင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8793,MMR008001017,Kwin Gyi,ကွင်းကြီး,ကျေးရွာအုပ်စု,Village Tract,"ကွင်းကြီး, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.11714, 94.547592, 0.0)",18.11714,94.547592,0.0
8794,MMR008001018,Kyaw Thar,ကျောသာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8795,MMR008001019,Kan Kyi Kone,ကံကြီးကုန်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8796,MMR008001020,Kan Kyoe,ကံကျိုး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8797,MMR008001021,Ta Loke Pin,တလုပ်ပင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8798,MMR008001022,Taung Tee,တောင်တီး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8799,MMR008001023,Thu Htay,သူဌေး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8800,MMR008001024,Taung Khway Ye,တောင်ခွေးရဲ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8801,MMR008001025,Moke Htaw,မုဌော,ကျေးရွာအုပ်စု,Village Tract,"Mutha, Haveli, Pune District, Maharashtra, 412102, India","(18.4514199, 73.7703318, 0.0)",18.4514199,73.7703318,0.0
8802,MMR008001026,Paung Ta Mawt,ပေါင်းတမော့,ကျေးရွာအုပ်စု,Village Tract,,,,,
