,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
95,MMR014D003,Langkho,လင်းခေးခရိုင်,ခရိုင်,District,"လင်းခေးခရိုင်, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(20.27182745, 98.06900151515325, 0.0)",20.27182745,98.06900151515323
96,MMR015D001,Lashio,လားရှိုးခရိုင်,ခရိုင်,District,"လားရှိုးခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, 06301, Myanmar","(22.6202164, 98.19735374741039, 0.0)",22.6202164,98.19735374741042
97,MMR015D002,Muse,မူဆယ်ခရိုင်,ခရိုင်,District,"မူဆယ်ခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(23.713138649999998, 97.96373437575659, 0.0)",23.71313865,97.96373437575659
98,MMR015D003,Kyaukme,ကျောက်မဲခရိုင်,ခရိုင်,District,"ကျောက်မဲခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(22.8165491, 97.08869171518293, 0.0)",22.8165491,97.08869171518292
99,MMR015D004,Kunlong,ကွမ်းလုံခရိုင်,ခရိုင်,District,"ကွမ်းလုံခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(23.455502699999997, 98.6161010406709, 0.0)",23.4555027,98.61610104067091
100,MMR015D005,Laukkaing,လောက်ကိုင်ခရိုင်,ခရိုင်,District,"老街县(လောက်ကိုင်ခရိုင်), ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(23.80732405, 98.56468115094572, 0.0)",23.80732405,98.56468115094572
101,MMR015D006,Hopang,ဟိုပန်ခရိုင်,ခရိုင်,District,"ဟိုပန်ခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Wa State Northern Region, 150402, Myanmar","(23.099787, 98.82001261843743, 0.0)",23.099787,98.82001261843745
102,MMR015D007,Matman,မက်မန်းခရိုင်,ခရိုင်,District,"မက်မန်းခရိုင် Matman, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Wa State Northern Region, Myanmar","(22.18777815, 98.89247307875024, 0.0)",22.18777815,98.89247307875023
103,MMR015D008,Mongmit,မိုးမိတ်ခရိုင်,ခရိုင်,District,"မိုးမိတ်ခရိုင်, ရှမ်းပြည်နယ်မြောက်ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(23.526243049999998, 96.73592404316932, 0.0)",23.52624305,96.7359240431693
104,MMR016D001,Kengtung,ကျိုင်းတုံခရိုင်,ခရိုင်,District,"ကျိုင်းတုံခရိုင်, ရှမ်းပြည်နယ် အရှေ့ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(21.56494035, 99.71225542974153, 0.0)",21.56494035,99.71225542974152
105,MMR016D002,Monghsat,မိုင်းဆတ်ခရိုင်,ခရိုင်,District,"မိုင်းဆတ်ခရိုင်, ရှမ်းပြည်နယ် အရှေ့ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(20.68559705, 99.02037840510232, 0.0)",20.68559705,99.0203784051023
106,MMR016D003,Tachileik,တာချီလိတ်ခရိုင်,ခရိုင်,District,"တာချီလိတ်ခရိုင်, ရှမ်းပြည်နယ် အရှေ့ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(20.6816952, 99.85024901619327, 0.0)",20.6816952,99.85024901619327
107,MMR016D004,Monghpyak,မိုင်းဖြတ်ခရိုင်,ခရိုင်,District,"မိုင်းဖြတ်ခရိုင်, ရှမ်းပြည်နယ် အရှေ့ပိုင်း, ရှမ်းပြည်နယ် Shan State, Myanmar","(21.25428215, 100.33782005537088, 0.0)",21.25428215,100.33782005537088
114,MMR018D001,Oke Ta Ra,ဥတ္တရခရိုင်,ခရိုင်,District,"ဥတ္တရခရိုင်, နေပြည်တော် ပြည်ထောင်စုနယ်မြ, 15013, Myanmar","(20.03816835, 96.11588628032888, 0.0)",20.03816835,96.11588628032888
115,MMR018D002,Det Khi Na,ဒက္ခိဏခရိုင်,ခရိုင်,District,"ဒက္ခိဏခရိုင်, နေပြည်တော် ပြည်ထောင်စုနယ်မြ, Myanmar","(19.67891285, 96.1989244855555, 0.0)",19.67891285,96.1989244855555
