,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
339,MMR013028,Kawhmu,ကော့မှူး,မြို့နယ်,Township,"ကော့မှူး, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.540769400000002, 96.10926500870181, 0.0)",16.540769400000002,96.1092650087018
340,MMR013029,Kungyangon,ကွမ်းခြံကုန်း,မြို့နယ်,Township,"ကွမ်းခြံကုန်း, ရန်ကုန်တိုင်းဒေသကြီး, 951, Myanmar","(16.4391422, 96.0103711, 0.0)",16.4391422,96.01037109999999
341,MMR013030,Dala,ဒလ,မြို့နယ်,Township,"Dala, Lunda Sul, Angola","(-11.033333, 20.2, 0.0)",-11.033333,20.2
343,MMR013032,Cocokyun,ကိုကိုးကျွန်း,မြို့နယ်,Township,"ကိုကိုးကျွန်း, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(14.87043835, 93.6220160465848, 0.0)",14.87043835,93.6220160465848
344,MMR013033,Kyauktada,ကျောက်တံတား,မြို့နယ်,Township,"ကျောက်တံတား, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.774106, 96.1619839, 0.0)",16.774106,96.16198390000001
345,MMR013034,Pabedan,ပန်းဘဲတန်း,မြို့နယ်,Township,"ပန်းဘဲတန်း, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.7759583, 96.1561493, 0.0)",16.775958300000003,96.1561493
346,MMR013035,Lanmadaw,လမ်းမတော်,မြို့နယ်,Township,"လမ်းမတော်, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.7789664, 96.1417274, 0.0)",16.778966399999998,96.14172740000001
347,MMR013036,Latha,လသာ,မြို့နယ်,Township,"လသာ, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.7763082, 96.1504591, 0.0)",16.7763082,96.15045909999999
348,MMR013037,Ahlone,အလုံ,မြို့နယ်,Township,"အလုံ, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.786798, 96.1287706, 0.0)",16.786798,96.1287706
349,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,မြို့နယ်,Township,"ကြည့်မြင်တိုင်, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.8129125, 96.121305, 0.0)",16.8129125,96.121305
