,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
7918,MMR006005015,Ah Lel Chaung,အလယ်ချောင်း,ကျေးရွာအုပ်စု,Village Tract,"အလယ်ချောင်း, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(17.681801, 94.599403, 0.0)",17.681801,94.59940300000001
7919,MMR006005016,Pin Oh,ပင်းအို,ကျေးရွာအုပ်စု,Village Tract,"ပင်းအို Pin O, Myeik District, Tanintharyi Region, Myanmar","(12.5291036, 98.7604811, 0.0)",12.5291036,98.76048109999999
7920,MMR006005017,Tha But,သဘွတ်,ကျေးရွာအုပ်စု,Village Tract,"သဘွတ် Tha But, Myeik District, Tanintharyi Region, Myanmar","(12.5198476, 98.7400293, 0.0)",12.5198476,98.74002929999999
7921,MMR006005018,Tha Moke,သမုတ်,ကျေးရွာအုပ်စု,Village Tract,"သမုတ် Tha Moke, Myeik District, Tanintharyi Region, Myanmar","(12.5710279, 98.7135071, 0.0)",12.5710279,98.7135071
7922,MMR006005019,Thit Yar Wa,သစ်ယာဝ,ကျေးရွာအုပ်စု,Village Tract,"သစ်ယာဝ Thit Ya Wa, Myeik District, Tanintharyi Region, Myanmar","(12.5813946, 98.6505932, 0.0)",12.5813946,98.6505932
7923,MMR006005020,Pa Sut,ပဆွပ်,ကျေးရွာအုပ်စု,Village Tract,"ပဆွပ် Pa Sut, Myeik District, Tanintharyi Region, Myanmar","(12.6857294, 98.6921138, 0.0)",12.685729400000001,98.69211379999999
7924,MMR006005021,Pa Pyin,ပပြင်,ကျေးရွာအုပ်စု,Village Tract,"ပပြင် Pa Byin, Myeik District, Tanintharyi Region, Myanmar","(12.6548419, 98.7837976, 0.0)",12.654841900000001,98.78379759999999
7925,MMR006005022,Kyauk Hpyar,ကျောက်ဖျာ,ကျေးရွာအုပ်စု,Village Tract,"ကျောက်ဖျာ, Thaton District, Mon, Myanmar","(17.3287944, 97.468264, 0.0)",17.3287944,97.468264
7926,MMR006006001,Kywe Kha Yan,ကျွဲခရံ,ကျေးရွာအုပ်စု,Village Tract,"ကျွဲခရံ, Myeik District, Tanintharyi Region, Myanmar","(11.9430861, 99.1177643, 0.0)",11.943086099999999,99.11776429999999
7929,MMR006006004,Taw Pyar,တောပြား,ကျေးရွာအုပ်စု,Village Tract,"Taw Pya တောပြား, Myeik District, Tanintharyi Region, Myanmar","(12.2158923, 98.4545058, 0.0)",12.2158923,98.45450579999999
7931,MMR006006006,Sa Khan Thit,စခန်းသစ်,ကျေးရွာအုပ်စု,Village Tract,"စခန်းသစ် Sakan Thit, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.0886422, 98.4303805, 0.0)",12.088642199999999,98.4303805
7932,MMR006006007,Me Taw,မဲတော,ကျေးရွာအုပ်စု,Village Tract,"မဲတော Me Daw, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(11.7166203, 98.6295032, 0.0)",11.7166203,98.6295032
7934,MMR006006009,Kan Maw,ကံမော်,ကျေးရွာအုပ်စု,Village Tract,"ကံမော် Kan Maw, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(11.8007391, 98.5262167, 0.0)",11.8007391,98.5262167
7935,MMR006006010,Yae Kan Taung,ရေကန်တောင်,ကျေးရွာအုပ်စု,Village Tract,"ရေကန်တောင် Ye Gan Daung, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(11.6142063, 98.4157741, 0.0)",11.614206300000001,98.4157741
7936,MMR006006011,Nyaung Bee,ညောင်ဘီး,ကျေးရွာအုပ်စု,Village Tract,"ညောင်ဘီး Nyaung Bi, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.324825, 98.7096906, 0.0)",12.324825,98.7096906
7937,MMR006006012,Min Goke,မင်းဂုတ်,ကျေးရွာအုပ်စု,Village Tract,"မင်းဂုတ် Min Gote, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.3010622, 98.7836015, 0.0)",12.301062199999999,98.7836015
7938,MMR006006013,Than Toke,သန္တုတ်,ကျေးရွာအုပ်စု,Village Tract,"Taw Nauk Le (Than Doke) တောနောက်လယ် (သန္တုတ်), ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.3422713, 98.677661, 0.0)",12.3422713,98.677661
7939,MMR006006014,Kat Ta Lu,ကတ္တလူ,ကျေးရွာအုပ်စု,Village Tract,"ကတ္တလူ Ka Ta Lu, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.4704101, 98.4240836, 0.0)",12.470410099999999,98.42408359999999
7940,MMR006006015,Ma Aing,မအိုင်,ကျေးရွာအုပ်စု,Village Tract,"မအိုင် Ma Aing, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.3563097, 98.4930754, 0.0)",12.356309699999999,98.49307540000001
7941,MMR006006016,Maung Hlaw,မောင်းလှော်,ကျေးရွာအုပ်စု,Village Tract,"Maung Law (Upper) မောင်းလှော် (အပေါ်), ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.3123726, 98.7630129, 0.0)",12.3123726,98.7630129
7942,MMR006006017,Zay Ka Mi,ဇေးကမိ,ကျေးရွာအုပ်စု,Village Tract,"ဇေးကမိ Zay Kami, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.32254, 98.7285411, 0.0)",12.32254,98.7285411
7943,MMR006006018,Yae Myit Gyi,ရေမြစ်ကြီး,ကျေးရွာအုပ်စု,Village Tract,"ရေမြစ်ကြီး Ye Myit Gyi, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.5590142, 98.3273041, 0.0)",12.5590142,98.32730409999999
7944,MMR006006019,Kan Gyi,ကမ်းကြီး,ကျေးရွာအုပ်စု,Village Tract,"ကမ်းကြီး, သံတွဲခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(18.409809, 94.465492, 0.0)",18.409809,94.465492
7945,MMR006006020,Ka Pa,ကပ,ကျေးရွာအုပ်စု,Village Tract,"ကပ Ka Pa, ကျွန်းစု, Myeik District, Tanintharyi Region, Myanmar","(12.3920818, 98.3909315, 0.0)",12.392081800000001,98.3909315
7947,MMR006007002,Pu Law Kone,ပုလောကုန်း,ကျေးရွာအုပ်စု,Village Tract,"ပုလောကုန်း Palaw Kone, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.014222, 98.6798805, 0.0)",13.014222,98.67988050000001
7948,MMR006007003,Za Yat Seik,ဇရပ်ဆိပ်,ကျေးရွာအုပ်စု,Village Tract,"ဇရပ်ဆိပ် Zayat Seik, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.8333725, 98.7001633, 0.0)",12.833372500000001,98.70016329999999
7949,MMR006007004,Taung Yar Kan,တောင်ယာကမ်း,ကျေးရွာအုပ်စု,Village Tract,"တောင်ယာကမ်း Taung Ya Kan, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.9907036, 98.6577657, 0.0)",12.9907036,98.6577657
7950,MMR006007005,Let Ku,လက္ကူး,ကျေးရွာအုပ်စု,Village Tract,"လက္ကူး Let Ku, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.9205379, 98.6361551, 0.0)",12.9205379,98.6361551
7951,MMR006007006,Nan Taung,နန်းတောင်,ကျေးရွာအုပ်စု,Village Tract,"နန်းတောင် Nan Taung, Myeik District, Tanintharyi Region, Myanmar","(13.2290943, 98.624922, 0.0)",13.2290943,98.624922
7952,MMR006007007,Ka De,ကဒဲ,ကျေးရွာအုပ်စု,Village Tract,"ကဒဲ Ka De, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.8917058, 98.6939514, 0.0)",12.8917058,98.6939514
7953,MMR006007008,Hta Min Ma Sar,ထမင်းမစား,ကျေးရွာအုပ်စု,Village Tract,"ထမင်းမစား Hta Min Ma Sar, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(13.1148716, 98.6375821, 0.0)",13.114871599999999,98.6375821
7954,MMR006007009,Kye,ကြဲ,ကျေးရွာအုပ်စု,Village Tract,"ကြဲ Kyal, ပုလော, Myeik District, Tanintharyi Region, Myanmar","(12.7993568, 98.7224928, 0.0)",12.799356800000002,98.7224928
7955,MMR006007010,To,တို,ကျေးရွာအုပ်စု,Village Tract,"太湖县, 太湖县 (Taihu), 安庆市 / Anqing, 安徽省, China 中国","(30.4607699, 116.3193438, 0.0)",30.460769899999995,116.31934380000001
