,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
3767,MMR014014702502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3768,MMR014014702503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3769,MMR014014702504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3770,MMR014014702505,No (5) Ward,အမှတ်(၅)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅)အခြေခံပညာမူလတန်းလွန်ကျောင်း, ဗိုလ်ဥတ္တမလမ်း, ၅ ရပ်ကွက်, ဒဂုံမြို့သစ်မြောက်ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, 11451, Myanmar","(16.89680695, 96.19876269635246, 0.0)",16.89680695,96.19876269635245
3771,MMR014014702506,No (6) Ward,အမှတ်(၆)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3778,MMR014015702501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
3779,MMR014015702502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3780,MMR014015702503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3781,MMR014015702504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3782,MMR014015702505,No (5) Ward,အမှတ်(၅)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅)အခြေခံပညာမူလတန်းလွန်ကျောင်း, ဗိုလ်ဥတ္တမလမ်း, ၅ ရပ်ကွက်, ဒဂုံမြို့သစ်မြောက်ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, 11451, Myanmar","(16.89680695, 96.19876269635246, 0.0)",16.89680695,96.19876269635245
3783,MMR014016701501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
3784,MMR014016701502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3785,MMR014016701503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3786,MMR014016701504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3787,MMR014016701505,No (5) Ward,အမှတ်(၅)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅)အခြေခံပညာမူလတန်းလွန်ကျောင်း, ဗိုလ်ဥတ္တမလမ်း, ၅ ရပ်ကွက်, ဒဂုံမြို့သစ်မြောက်ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, 11451, Myanmar","(16.89680695, 96.19876269635246, 0.0)",16.89680695,96.19876269635245
3788,MMR014017701501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
3789,MMR014017701502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3790,MMR014017701503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3791,MMR014017701504,No (4) Ward,အမှတ်(၄)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3792,MMR014017702501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
3793,MMR014017702502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3794,MMR014017702503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3797,MMR014018701503,Zay Tan Ward,ဈေးတန်းရပ်ကွက်,ရပ်ကွက်,Ward,"Zay Dan(ဈေးတန်းရပ်ကွက်), ကျောက်ဆည်, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, 05151, Myanmar","(21.6027055, 96.1389017, 0.0)",21.6027055,96.1389017
3803,MMR014018702501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
3804,MMR014018702502,No (2) Ward,အမှတ်(၂)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3805,MMR014018702503,No (3) Ward,အမှတ်(၃)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ်(၅၂)ရပ်ကွက်, ဒဂုံမြို့သစ်အရှေ့ပိုင်း, Eastern District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.919491899999997, 96.19911804347167, 0.0)",16.919491899999993,96.19911804347169
3811,MMR014019702501,No (1) Ward,အမှတ်(၁)ရပ်ကွက်,ရပ်ကွက်,Ward,"အမှတ် ၁ ကြို့ကုန်းရိပ်သာလမ်း No (1) Gyo Gone Housing, ဘုရင့်နောင် ရပ်ကွက်, အင်းစိန်, Northern District, ရန်ကုန်တိုင်းဒေသကြီး, 11011, Myanmar","(16.8785501, 96.1115181, 0.0)",16.878550100000002,96.1115181
